claim_id,claim_text,beam_case,solver,mapping_mode,maturity,status,quantitative_valid,calibration_required,source_code_path,data_path,figure_path,test_path,notes
VTX-C01,"G0 is the charge-zero Gaussian control in the canonical family.",G0,scalar_fft,fixed_physical_optics,relative_optical_prediction,supported,true,false,vbb_study/digital_twin/phase2a_canonical.py,outputs/validation/phase2a/canonical_case_summary.csv,outputs/figures/phase2b_visual_diagnostics/02_xy_planes/g0_xy_landmarks_and_sas_focus.png,tests/test_phase2a_canonical_lab_realism.py,"Control definition and relative morphology; absolute scale remains separately calibrated."
VTX-C02,"B0 is the charge-zero bright-core Bessel reference in the canonical family.",B0,scalar_fft,fixed_physical_optics,relative_optical_prediction,supported,true,false,vbb_study/digital_twin/phase2a_canonical.py,outputs/validation/phase2a/canonical_case_summary.csv,outputs/figures/phase2b_visual_diagnostics/02_xy_planes/b0_xy_landmarks_and_sas_focus.png,tests/test_phase2a_canonical_lab_realism.py,"Bright-core Bessel reference, not a vortex."
VTX-C03,"V1 preserves charge-one transverse phase winding in both scalar and vector focal references.",V1,scalar_fft+vector_debye,fixed_physical_optics,fixed_bench_nominal_prediction,supported_with_scope,true,true,vbb_study/digital_twin/phase2c_objective_interface.py,outputs/validation/phase2c/phase2c_objective_benchmark.csv,outputs/figures/phase2c/objective/v1_scalar_vs_debye.png,tests/test_phase2c_objective_interface.py,"Measured winding is 1 within numerical precision on the identified dominant transverse component; this is numerical topology, not an experimental measurement."
VTX-C04,"V3 preserves charge-three transverse phase winding in both scalar and vector focal references.",V3,scalar_fft+vector_debye,fixed_physical_optics,fixed_bench_nominal_prediction,supported_with_scope,true,true,vbb_study/digital_twin/phase2c_objective_interface.py,outputs/validation/phase2c/phase2c_objective_benchmark.csv,outputs/figures/phase2c/objective/v3_scalar_vs_debye.png,tests/test_phase2c_objective_interface.py,"Measured winding is 3 within numerical precision on the identified dominant transverse component; this is numerical topology, not an experimental measurement."
VTX-C05,"At the matched Phase 2C objective focal plane the scalar and vector ring radii agree for V1 and V3.",V1;V3,scalar_fft+vector_debye,fixed_physical_optics,fixed_bench_nominal_prediction,supported_with_scope,true,true,vbb_study/digital_twin/phase2c_objective_interface.py,outputs/validation/phase2c/phase2c_objective_benchmark.csv,outputs/figures/phase2c/profiles/v1_objective_profiles.png;outputs/figures/phase2c/profiles/v3_objective_profiles.png,tests/test_phase2c_objective_interface.py,"V1 radius 0.7203 um and V3 radius 1.5435 um in the nominal model; any report number must identify this focal plane and scalar/vector reference."
VTX-C06,"Phase 2C reports nominal dark-core radii for V1 and V3 while preserving their winding.",V1;V3,vector_debye,fixed_physical_optics,fixed_bench_nominal_prediction,supported_with_scope,true,true,vbb_study/digital_twin/phase2c_objective_interface.py,outputs/validation/phase2c/phase2c_objective_benchmark.csv,outputs/figures/phase2c/profiles/v1_objective_profiles.png;outputs/figures/phase2c/profiles/v3_objective_profiles.png,tests/test_phase2c_objective_interface.py,"Vector-reference dark-core radii are 0.5145 um and 1.1319 um in the nominal focal model; camera/objective calibration is required for physical comparison."
VTX-C07,"Scalar and vector objective side-lobe ratios are quantitatively recorded for G0, B0, V1 and V3.",G0;B0;V1;V3,scalar_fft+vector_debye,fixed_physical_optics,fixed_bench_nominal_prediction,supported_with_scope,true,true,vbb_study/digital_twin/phase2c_objective_interface.py,outputs/validation/phase2c/phase2c_objective_benchmark.csv,outputs/figures/phase2c/profiles/g0_objective_profiles.png;outputs/figures/phase2c/profiles/b0_objective_profiles.png;outputs/figures/phase2c/profiles/v1_objective_profiles.png;outputs/figures/phase2c/profiles/v3_objective_profiles.png,tests/test_phase2c_objective_interface.py,"Use solver-specific values; do not collapse scalar and vector results into one unlabeled number."
VTX-C08,"Scalar focusing is an acceptable broad-morphology approximation for G0 and B0 within the Phase 2C benchmark.",G0;B0,scalar_fft,fixed_physical_optics,fixed_bench_nominal_prediction,supported_with_scope,true,true,vbb_study/digital_twin/phase2c_objective_interface.py,outputs/validation/phase2c/phase2c_claim_registry.csv,outputs/figures/phase2c/objective/g0_scalar_vs_debye.png;outputs/figures/phase2c/objective/b0_scalar_vs_debye.png,tests/test_phase2c_objective_interface.py,"Bounded project benchmark only; vector Debye remains available and longitudinal fields are not modelled by the scalar route."
VTX-C09,"V1 and V3 retain ring topology but quantitative focal peak location is shifted relative to the vector reference.",V1;V3,vector_debye,fixed_physical_optics,fixed_bench_nominal_prediction,narrowed,true,true,vbb_study/solver_policy.py,outputs/validation/phase2c/phase2c_objective_benchmark.csv,outputs/figures/phase2c/objective/v1_scalar_vs_debye.png;outputs/figures/phase2c/objective/v3_scalar_vs_debye.png,tests/test_phase2d_calibration_bridge.py,"Use Debye for quantitative peak location; nominal scalar-vector shifts are 1.029 um for V1 and 2.3009139488 um for V3."
VTX-C10,"The scalar normal-incidence interface approximation is acceptable for the bounded Phase 2C morphology and power comparison.",G0;B0;V1;V3,scalar_normal_incidence_fresnel+vector_spectral_fresnel,fixed_physical_optics,fixed_bench_nominal_prediction,supported_with_scope,true,true,vbb_study/equations/vector_fresnel_interface.py,outputs/validation/phase2c/phase2c_interface_benchmark.csv,outputs/figures/phase2c/interface/g0_scalar_vs_vector_fresnel.png;outputs/figures/phase2c/interface/b0_scalar_vs_vector_fresnel.png;outputs/figures/phase2c/interface/v1_scalar_vs_vector_fresnel.png;outputs/figures/phase2c/interface/v3_scalar_vs_vector_fresnel.png,tests/test_phase2c_objective_interface.py,"Uses the project material/index and uncoated bounded comparison; component-resolved or changed-interface claims require vector Fresnel and calibration."
VTX-C11,"The canonical B0, V1 and V3 routes exhibit a nominal 0.04 m axial region under the configured fixed-bench model.",B0;V1;V3,scalar_asm,fixed_physical_optics,fixed_bench_nominal_prediction,supported_with_scope,true,true,vbb_study/digital_twin/phase2a_canonical.py,outputs/validation/phase2a/canonical_case_summary.csv,outputs/figures/phase2b_visual_diagnostics/03_xz_yz_slices/b0_xz_yz_and_power.png;outputs/figures/phase2b_visual_diagnostics/03_xz_yz_slices/v1_xz_yz_and_power.png;outputs/figures/phase2b_visual_diagnostics/03_xz_yz_slices/v3_xz_yz_and_power.png,tests/test_phase2b_visual_diagnostics.py,"Configured nominal axial interval, not a measured Bessel-zone length."
VTX-C12,"Each canonical case has analytic, ideal, realistic fixed-bench, mild-error and deliberately degraded controlled variants.",G0;B0;V1;V3,scalar_fft+scalar_asm,fixed_physical_optics,fixed_bench_nominal_prediction,supported,true,false,vbb_study/digital_twin/phase2a_canonical.py,outputs/validation/phase2a/canonical_case_summary.csv,outputs/figures/phase2b_visual_diagnostics/08_summary_tables/phase2b_case_summary.csv,tests/test_phase2a_canonical_lab_realism.py,"Mild and degraded variants are diagnostics, not predictions of a measured bench state."
